Process Date,Amount,Other Party,Credit Plan Name,Transaction Date,Foreign Details,City,Country Code
21/12/2018,-47.00,"GRABONE                WHANGAREI     NZL","PURCHASES",21/12/2018,,,
21/12/2018,-95.70,"BALLANTYNES            CHRISTCHURCH  NZ","PURCHASES",21/12/2018,,,
24/12/2018,-55.04,"NYX PMU CHRISTCHURCH   CHRISTCHURCH  NZ","PURCHASES",21/12/2018,,,
24/12/2018,-68.57,"NPD MOORHOUSE          CHRISTCHURCH  NZ","PURCHASES",22/12/2018,,,
24/12/2018,-3.90,"KAIKOURA BAKERY        KAIKOURA      NZ","PURCHASES",23/12/2018,,,
24/12/2018,-3.33,"POWERSHOP              WELLINGTON    NZL","PURCHASES",24/12/2018,,,
27/12/2018,-20.00,"2DEGREES MOBILE        AUCKLAND      NZ","PURCHASES",25/12/2018,,,
27/12/2018,-8.00,"ULA                    KAIKOURA      NZL","PURCHASES",26/12/2018,,,
27/12/2018,-4.80,"THE CRAYPOT KAIKOURA   KAIKOURA      NZ","PURCHASES",26/12/2018,,,
27/12/2018,-20.78,"APL WAIPARA            AMBERLEY NZ   NZ","PURCHASES",26/12/2018,,,
27/12/2018,-5.96,"LUMLEY GEN INS NZ      AUCKLAND      NZL","PURCHASES",27/12/2018,,,
31/12/2018,-40.70,"PAK N SAVE RICCARTON   CHRISTCHURCH  NZ","PURCHASES",28/12/2018,,,
31/12/2018,-89.80,"DECJUBA RICCARTON      CHRISTCHURCH  NZ","PURCHASES",28/12/2018,,,
31/12/2018,-58.33,"NPD MOORHOUSE          CHRISTCHURCH  NZ","PURCHASES",28/12/2018,,,
31/12/2018,-141.80,"LIFE PHARMACY RICCARTO RICCARTON     NZ","PURCHASES",28/12/2018,,,
31/12/2018,-6.20,"LIFE PHARMACY RICCARTO RICCARTON     NZ","PURCHASES",28/12/2018,,,
31/12/2018,-74.00,"GRABONE                WHANGAREI     NZL","PURCHASES",31/12/2018,,,
31/12/2018,-49.00,"GRABONE                WHANGAREI     NZL","PURCHASES",31/12/2018,,,
03/01/2019,-75.00,"TREATME                AUCKLAND      NZ","PURCHASES",30/12/2018,,,
03/01/2019,-22.00,"TREATME                AUCKLAND      NZ","PURCHASES",30/12/2018,,,
03/01/2019,-23.20,"FAMILY RESTAURANT      CHRISTCHURCH  NZ","PURCHASES",31/12/2018,,,
03/01/2019,-18.70,"PAYPAL *WANG1WORLD     4029357733    SG","PURCHASES",31/12/2018,,,
03/01/2019,-2.28,"PAYPAL *BITAO YU       4029357733    SG","PURCHASES",31/12/2018,,,
03/01/2019,-4.50,"POWERSHOP              WELLINGTON    NZL","PURCHASES",01/01/2019,,,
03/01/2019,-20.19,"POWERSHOP              WELLINGTON    NZL","PURCHASES",01/01/2019,,,
03/01/2019,-86.49,"TWO DEGREES NEW ZEALAN CHRISTCHURCH  NZ","PURCHASES",02/01/2019,,,
04/01/2019,-12.00,"COUNTDOWN THE PALMS    CHRISTCHURCH  NZL","PURCHASES",03/01/2019,,,
04/01/2019,-8.39,"FARMERS - SHIRLEY      CHRISTCHURCH  NZ","PURCHASES",03/01/2019,,,
04/01/2019,-39.60,"FARMERS - SHIRLEY      CHRISTCHURCH  NZ","PURCHASES",03/01/2019,,,
