Process Date,Amount,Other Party,Credit Plan Name,Transaction Date,Foreign Details,City,Country Code
18/06/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",15/06/2012,,,
18/06/2012,128.00,"PAYMENT RECEIVED       THANK YOU     NZL",,17/06/2012,,,
22/06/2012,-10.00,"K MART                 CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",21/06/2012,,,
22/06/2012,-15.00,"COTTON ON BODY RICCART RICCARTON     NZ","PURCHASES AMERICAN EXPRESS",21/06/2012,,,
22/06/2012,-2.95,"THEOBROMA CHOCOLATE    CHRISTCHURCH  NZ","PURCHASES",21/06/2012,,,
25/06/2012,-45.37,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",22/06/2012,,,
25/06/2012,-93.90,"NZ AUTOMOBILE ASSOCIAT RICCARTON     NZ","PURCHASES AMERICAN EXPRESS",22/06/2012,,,
25/06/2012,-50.00,"ELITE FACTORY OUTLETS  HORNBY        NZ","PURCHASES AMERICAN EXPRESS",24/06/2012,,,
28/06/2012,-20.00,"CLTNET NZ LIMITED      MASTERTON     NZ","PURCHASES",27/06/2012,,,
28/06/2012,270.00,"PAYMENT RECEIVED       THANK YOU     NZL",,28/06/2012,,,
29/06/2012,-0.60,"MCDONALDS RICCARTON    CHRISTCHURCH  NZL","PURCHASES",28/06/2012,,,
29/06/2012,-32.48,"FARMERS TRADING 5579   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",28/06/2012,,,
29/06/2012,-30.00,"Environment Canterbury Christchurch  NZ","PURCHASES",28/06/2012,,,
02/07/2012,-18.50,"HOYTS RICCARTON        CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",30/06/2012,,,
02/07/2012,-10.00,"TIMEZONE ROTHERHAM     CHRISTCHURCH  NZ","PURCHASES",30/06/2012,,,
02/07/2012,60.00,"PAYMENT RECEIVED       THANK YOU     NZL",,01/07/2012,,,
03/07/2012,-49.29,"PAK N SAVE RICCARTON   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",02/07/2012,,,
03/07/2012,-25.00,"ABALONE THAI RESTAURAN CHRISTCHURCH  NZL","PURCHASES",03/07/2012,,,
09/07/2012,-2.70,"MCDONALDS MERIVALE     CHRISTCHURCH  NZL","PURCHASES",06/07/2012,,,
